"","nomes","cargo_funcao","fala"
"11","PRESIDENTE","(Omar Aziz. PSD - AM)","A pauta sobre requerimento? "
"12","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Exatamente. "
"13","PRESIDENTE","(Omar Aziz. PSD - AM)","Daqui a pouco nós vamos colocar para V. Exa., está bem? "
"14","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Faça isso, Presidente, porque o correto seriam 48 horas. Então, eu não quero criar obstáculo de votação. "
"15","PRESIDENTE","(Omar Aziz. PSD - AM)","Não, mas aí nós temos hoje sessão, não só quarta-feira. A do Senador Eduardo Girão já estava pautada semana passada, nós só adiamos, entendeu? Então, a do Senador Eduardo Girão já estava pautada. A única que não foi votada foi a do Senador Eduardo Girão. "
"16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Perfeito. "
"17","PRESIDENTE","(Omar Aziz. PSD - AM)","As outras, se a gente colocar hoje, nós temos sessão até sexta-feira; nós temos amanhã, quinta e sexta. "
"18","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Mas seria bom... Faço um apelo para ver se se disponibiliza até o final da manhã. "
"19","PRESIDENTE","(Omar Aziz. PSD - AM)","Eu recebi... Eu recebi um telefonema do Presidente da Câmara dos Deputados, o Deputado Federal Arthur Lira, Presidente da Câmara. Ele disse... Ele conversou comigo e eu concordei com ele que nós trocaríamos a convocação do Deputado Osmar Terra para convite. E eu quero colocar isso aqui para V. Exa., para a gente poder... E nós deliberamos como convite, mas ele me ligou... Eu acho que a reivindicação do Deputado Arthur Lira, como Presidente de um Poder... Ele está correto em... E eu aceito o acordo, então. E eu quero comunicar a V. Exas. que nós iremos não convocá-lo, mas convidá-lo a vir a esta Casa, o.k.? Eu peço à Secretaria... "
"20","OTTO ALENCAR","(PSD - BA)","Sr. Presidente... "
"21","PRESIDENTE","(Omar Aziz. PSD - AM)","Pois não. "
"22","OTTO ALENCAR","(PSD - BA. Pela ordem.)","Só para um registro. Queria aqui registrar dois eventos importantes que aconteceram nesta semana. Primeiro, o evento da busca e apreensão no laboratório do Professor Didier Raoult, na França, por desonestidade científica e médica nos trabalhos que ele fez no uso da hidroxicloroquina ou cloroquina. Então, a polícia francesa fez lá busca e apreensão, não permitindo que ele mais mentisse para o mundo com as suas experiências. Em segundo lugar, um dos Senadores americanos foi retirado do YouTube por promover, de forma indevida, a ineficácia do tratamento precoce. São dois fatos importantes, que precisam ser registrados no âmbito desta Comissão Parlamentar de Inquérito, mostrando que o mundo já entendeu que esse tratamento precoce, como qualquer outro tratamento para qualquer virose, não tem nenhuma eficácia.         "
"23","PRESIDENTE","(Omar Aziz. PSD - AM)","Determino à Secretaria que conduza o depoente à mesa para o início do seu depoimento.  V. Sa. promete, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"24","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim, prometo. "
"25","PRESIDENTE","(Omar Aziz. PSD - AM)","A partir deste momento, V. Sa. está sob o compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal. Se V. Exa. quiser, tem 15 minutos pra se posicionar; se não, passo diretamente ao Relator. "
"26","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Eu quero, Presidente. Obrigado. "
"27","PRESIDENTE","(Omar Aziz. PSD - AM)","Fique à vontade. "
"28","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Quero dar o meu bom-dia aqui aos Senadores, agradecer a cordialidade. Bom dia, Presidente Omar Aziz, Relator Renan Calheiros, Senador. E, em nome do Senador Eduardo Braga, do Estado do Amazonas, eu dou o meu bom-dia a todos os outros demais Senadores. Bom, o meu nome é Marcellus José Barroso Campêlo, eu sou natural, nascido no Estado do Amazonas, na cidade de Manaus. Eu tenho 51 anos de idade. Sou casado há 30 anos, tenho dois filhos, um casal de filhos. Minha profissão é de engenheiro civil, formado no então Instituto de Tecnologia da Amazônia, a Utam, em 1992, profissão em que eu segui e eu atuei, metade dos anos da profissão, na iniciativa privada e metade, agora, nas experiências no serviço público. Eu trabalhei... Essa é a minha quarta experiência no serviço público. Trabalhei duas vezes na Prefeitura de Manaus e essa é a segunda vez que eu estou trabalhando no Governo do Amazonas. Senadores, eu queria, em primeiro lugar, prestar a minha solidariedade a todos os familiares das vítimas da pandemia no Brasil e especialmente as vítimas da pandemia no nosso Estado do Amazonas. Solidariedade também aos familiares das vítimas, dos trabalhadores e profissionais da saúde do Brasil e do Estado do Amazonas.         E lembrar aqui a memória da Dra. Rosemary Costa Pinto, epidemiologista, que respeitava e amava o SUS como ninguém. Ela era uma amante da ciência, ela era uma entusiasta da vacina e também a grande líder que incentivava as medidas não farmacológicas no Estado do Amazonas como único meio até então, como não tínhamos vacina, para combater a pandemia. Infelizmente, a Dra. Rosemary, grande amiga, veio a óbito quatro dias antes da chegada da primeira remessa do lote de vacinas ao Amazonas. Estou aqui também para honrar a memória dos trabalhadores e profissionais de saúde que lutaram e ainda hoje lutam no fronte da pandemia, com os quais convivi nesses dez meses de titularidade como Secretário de Estado de Saúde do Amazonas. Eles são os verdadeiros heróis desta pandemia, aqueles que literalmente entregaram a sua vida para ajudar o povo brasileiro e o povo amazonense. Com eles, junto com eles, desenvolvemos várias ações administrativas e, principalmente, um programa de modernização da saúde no Amazonas, estruturado em nove grandes ações estratégicas, chamado Saúde Amazonas, que começamos a implementar a partir do dia 1º de setembro. Os servidores da saúde tiveram até então a oportunidade de serem realmente os protagonistas da gestão da saúde no Estado do Amazonas. Eles elaboraram o plano, estruturaram esse plano, tiraram os projetos das gavetas, que há muitos anos tentavam implementar, mas nunca tiveram oportunidade, e isso nós procuramos fazer da melhor forma possível. Por fim, eu gostaria de lembrar a minha esposa e os meus dois filhos, que certamente compreenderam a necessidade dessa dedicação exclusiva nos dez meses da pandemia, quando tivemos que estar ausentes em muitas noites e muitas madrugadas e muitos finais de semana. A eles, o meu carinho pelas lágrimas, pelas orações e pelo amor que sentem por mim. Senhores, eu cheguei ao Governo do Amazonas, em 2019, a convite da Comissão de Transição, para ajudar a formar um relatório na Comissão de Transição de Infraestrutura, pela experiência que eu tinha em relação a essa área. Fui o Coordenador da Comissão de Transição, à época coordenada pelo Vice-Governador Carlos Almeida.         E, após a Comissão de Transição, fui convidado a assumir a Secretaria Executiva da Secretaria de Estado de infraestrutura (Seinfra) e também coordenar a Unidade Gestora de Projetos Especiais, que cuida de um grande programa, que já é um programa de Estado, chamado Prosamim, programa de sucesso que eu tive a honra de coordenar dos anos de 2015 a 2017. E aí, nessa oportunidade, o Governador Wilson Lima me fez o convite para voltar à frente da daquela unidade gestora. Durante o ano de 2019, portanto, trabalhamos nessas duas frentes, organizando a pasta da infraestrutura. No mês... Em meados... No final do mês de abril, com o agravamento da crise da pandemia na saúde, todas as secretarias de Estado foram convocadas pelo Governador a apoiar o sistema de saúde, em virtude do grande déficit de profissionais que estavam tombando doentes, afastados ou mesmo indo a óbito. Então, nós mobilizamos uma grande quantidade de servidores do Estado para ajudar a saúde. E, após esse período, no dia 8 de maio, o Governador, então, me convidou para assumir a Secretaria Executiva da Saúde no Amazonas – passei a ser o Secretário Executivo. E, no dia 8 de julho, assumi interinamente como Secretário da pasta, e apenas no dia 1º de setembro, portanto, fui confirmado como titular. Então, de setembro até o período em que eu saí da pasta – pedi a exoneração –, foram dez meses. Como principais ações à frente da saúde, peço permissão para enumerar: a reorganização administrativa da secretaria; a nomeação prioritária de servidores de carreira, empoderando-os na tomada de decisão com pragmatismo, com senso de urgência e com senso de indignação ante os problemas históricos e crônicos que nossa rede ainda possui; diálogo aberto e transparente com os órgãos de controle, com profissionais de saúde, com conselhos regionais, sindicatos, usuários do SUS, associações de transplantados, cardiopatas, da saúde mental, da saúde bucal e outras linhas de cuidado, portadores de deficiência, com o conselho estadual, com a Comissão Intergestores Bipartite e com outros órgãos como Cosems, aproximação com Conass e o Ministério da Saúde. Fizemos também e promovemos a integração da rede da administração direta e indireta da saúde, que era fragmentada; unimos as unidades de saúde e das fundações em um grande sentimento de rede, com as fundações de especialidades de saúde, com a Fundação de Vigilância em Saúde e com a rede de saúde complementar, e também com o Hospital Federal Getúlio Vargas; aproximação junto ao Conass, à Organização Pan-Americana de Saúde, à Força Nacional de Saúde, à Unicef, à Médicos sem Fronteiras, com o Hospital Sírio-Libanês, que foi um grande parceiro na reorganização de algumas unidades de saúde, o Hospital Albert Einstein, que nos ajuda na telemedicina; o foco na gestão de dados da saúde, com fortalecimento do TI, que os dados eram fragmentados, nós não tínhamos informação da rede, o que acontecia, quantos usuários, quantos leitos, quantos internados, quantas vagas, qual era a taxa de ocupação. E nós conseguimos integrar os sistemas de saúde para poder ter dados em painel de gestão e tomar decisão de forma mais rápida.         Implantamos o Lean nas emergências nos três grandes prontos-socorros de Manaus, com apoio do Sírio Libanês, e também fizemos um grande trabalho desospitalização de pacientes nesses hospitais, alguns com mais de 60 dias internados aguardando uma cirurgia, os chamados... E nós chamamos plano Gira Leitos com cirurgias noturnas, o que o que proporcionou, inclusive, termos leitos suficientes para a segunda alça epidêmica. O Programa Saúde Amazonas com nove metas, grandes metas estratégias; 200 projetos sendo executados; a desburocratização de processos administrativos para contratações e pagamentos; comissão de especialistas – foram quatro comissões implantadas; comissão de eliminação de pagamentos sob indenização, pagamentos indenizatórios, que é um programa crônico há décadas na secretaria e que nós estamos, que o Governo está agora, a Secretaria de Saúde está eliminando; e a criação da Secretaria Executiva do Controle Interno da Saúde, que concentra todos os órgãos de auditoria, sindicância, controle interno e ouvidoria. Ampliamos os leitos habilitados no Cnes, sendo o maior número da história da saúde no Amazonas, leitos habilitados na capital e no interior do Amazonas. E também proporcionamos a integração das políticas de saúde entre capital e interior do Amazonas. Estamos no início dessa integração, inclusive no diálogo, agora possível, com a Prefeitura de Manaus e a Semsa Manaus, com a integração dos técnicos e com portarias assinadas para reorganização na cidade. Senhores, sobre o enfrentamento da pandemia, quando eu cheguei na secretaria, em 8 de maio de 2020, nós estávamos com números ainda elevados de internações, taxa de ocupação, óbitos e contaminação, mas os números estavam em queda. Tínhamos, à época, a finalização de um contrato de locação com o Hospital Nilton Lins, que foi um contrato de 90 dias, que, em julho, já não tinha mais nenhum paciente internado e, por isso, sem ter demanda, ele foi encerrado. O principal hospital de referência Covid em Manaus, o Hospital Delphina Aziz, estava com taxas de ocupação em decréscimo no mês de setembro, o que nos motivou, inclusive, a elaborar um plano de utilização daquele hospital. Para quem não conhece, o Hospital Delphina Aziz é um hospital de seis andares; é o maior hospital da rede pública do Estado do Amazonas, um hospital espetacular, que tem um potencial gigantesco de redução de filas de cirurgias eletivas e outras na cidade de Manaus e atendimento a todo o Estado do Amazonas. Por isso, ele precisa ser utilizado para esse fim, não somente para atender Covid. Então, com a taxa de ocupação em baixa, nós nos estimulamos a criar um outro plano de trabalho pra o Delphina Aziz, para ficar como hospital híbrido.         Porém, após os o feriado de setembro, grandes aglomerações se registraram na cidade de Manaus, e eu fui alertado pela então Presidente, Diretora-Presidente da Fundação de Vigilância em Saúde, Dra. Rosemary, sobre o aumento, o início de um aumento da taxa de ocupação nos hospitais particulares da cidade de Manaus, o que poderia estar evidenciando a contaminação, principalmente das classes A e B, que são as classes que estavam mais sendo expostas, naquele momento, nas atividades de recreação, principalmente, nos bares, nos restaurantes, nos flutuantes, no iates, nas boates etc. As aglomerações detectadas também pelas convenções partidárias, início da campanha eleitoral, com muitos comícios e carreatas realizados principalmente no interior do Amazonas, fora do controle da fiscalização. Em setembro, então, com base nesse número, nós começamos a elaborar um plano de contingência para o enfrentamento do recrudescimento da Covid-19. Esse plano foi elaborado pelas equipes de saúde, as equipes técnicas, junto com a Fundação de Vigilância em Saúde, ouvindo especialistas, e também em consonância com o Plano Nacional de Enfrentamento à Covid-19 e também em consonância com todos os Estados brasileiros, o modelo que é usualmente utilizado em todos os Estados. O plano era em cinco fases e disparava quando a taxa de ocupação de UTIs Covid ultrapassava ou atingia 75% da sua capacidade. E começou, a partir de setembro, a aumentar o número de hospitalizações na rede, tanto na rede pública quanto privada. Em setembro, foi de 553 o número de internações. Em outubro, nós tivemos que disparar a primeira fase do plano de contingência. E realizamos, para isso, para a abertura de leitos, o plano Gira Leitos. E, em outubro, também a realização das eleições com o registro de muita aglomeração e 61 festas da vitória nos 61 Municípios do interior do Amazonas, com um registro também de muitas aglomerações, o número salta, de hospitalização, para 968. Nós temos também, a partir de novembro, a segunda fase e, no 23 de dezembro, dispara a terceira fase do plano de contingência, o que nos obrigou a solicitar do Comitê de Crise um decreto de restrição das atividades econômicas e de circulação de pessoas na cidade de Manaus e no Estado, para dar uma trégua ao sistema de saúde e assim podermos reorganizar e preparar a quarta fase que, inclusive, previa – que previa – a instalação de hospital de campanha ou enfermaria de campanha na área externa do Hospital Delphina Aziz. Nós, a partir daí, não tivemos êxito nesse decreto, que chegou a ser publicado, mas muitas manifestações, inclusive com violência, com barricadas, com a interrupção do direito de ir e vir da população, o que obrigou o Governo a flexibilizar o decreto a partir... E foi uma decisão judicial que fez com que o decreto passasse a vigorar a partir do dia 2 janeiro.         Enfim, a partir do final do ano, no dia 31 de dezembro, pedimos o apoio via ofício à Força Nacional, pedindo ao Ministério da Saúde a presença da Força Nacional de Saúde no Estado do Amazonas para apoiar. "
"29","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Para interpelar.)","Quando? "
"30","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Em 31 de dezembro, o ofício. "
"31","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","O senhor pode repetir? Trinta e um de dezembro? "
"32","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Trinta e um de dezembro pedimos no ofício e também solicitamos diversos apoios para recursos humanos, medicamentos e equipamentos. No dia 4 de janeiro, recebemos a Secretária Mayra Pinheiro na primeira reunião, pela manhã, 8h, no auditório do Hospital Delphina Aziz, onde foi convocada... A sua assessoria convocou a presença de representante do Conselho de Medicina, do Conselho de Enfermagem, sindicatos, autoridades da área médica, especialistas, etc. Estivemos juntos com o Governador, participando dessa reunião, com a presença da imprensa – está tudo registrado –, e vimos uma ênfase da Dra. Mayra Pinheiro em relação ao tratamento precoce e disponibilização de... Relatando um novo sistema que poderia ser utilizado e que seria apresentado oportunamente. Chamava-se TrateCov. A viagem da Dra. Mayra se deu mais com ênfase na atenção primária, ou seja, as reuniões mais eram para trabalhar com as prefeituras, e a Prefeitura de Manaus, àquela época, estava com uma nova gestão, a gestão tinha acabado de assumir, com muitas dificuldades na gestão, inclusive faltava medicamento na Prefeitura de Manaus para suas UBS. Inclusive, estavam muitas fechadas. No dia 7 de janeiro, à tarde, por volta de 14h, o representante da White Martins pede para falar comigo e com alguns integrantes da minha equipe para questionar quantos leitos de UTIs e leitos clínicos nós ainda iríamos abrir no nosso plano de contingência, porque ele estava preocupado com o aumento do consumo e precisaria fazer uma programação do fornecimento. Então, nós relatamos que, aproximadamente, teríamos capacidade de implantar mais 150 leitos de UTI e, aproximadamente, 250 leitos clínicos na capital de Manaus. Esse era o plano. Ele anotou, pediu para que nós não ativássemos mais nenhum leito de UTI até o sinal da empresa fornecedora de que poderia ter segurança para a ampliação do fornecimento de oxigênio. E assim fizemos: demos a ordem de não ativação, de continuarmos com a ampliação dos leitos, mas ativar os leitos somente no momento em que tivéssemos a anuência da empresa com segurança. (Intervenção fora do microfone.) "
"33","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Neste dia, nós já estávamos aumentando leitos, mas, neste dia, nós informamos que nós tínhamos capacidade ainda de aumentar, por questões físicas, de RH etc., mais 150 leitos de UTI e 250 leitos clínicos. "
"34","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","Mas eu não entendi. Vocês deixaram de ampliar leitos em vez de buscar oxigênio? Como é que foi essa história? Me conta aí. "
"35","MARCELLUS JOSÉ BARROSO CAMPÊLO","(Para depor.)","Não... "
"36","PRESIDENTE","(Omar Aziz. PSD - AM)","Sim, é isso que eu quero saber.         Você disse o seguinte: nós recebemos... Quem é a White Martins para dizer para o Estado que ela não pode abrir mais nenhum leito? Em vez de a White Martins e você, nesse momento, irem atrás de oxigênio para abrir leito, que era até a necessidade de Manaus, você parou – foi isso que você disse aí e por isso que eu estou te perguntando – de abrir leito por causa da White Martins? "
"37","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Não, nós continuamos abrindo os leitos, Senador, porque a White Martins, neste mesmo dia, apresentou uma programação para a gente de fornecimento de oxigênio – inclusive, nós estamos falando do dia 7, que é uma quinta-feira –, e ela afirmou para mim e para a nossa equipe que, a partir do sábado, dia 9, chegaria a primeira balsa de abastecimento com 52 mil metros cúbicos de oxigênio vinda de Belém e, a partir daquela data, a cada dois dias, chegariam novas balsas, novos carregamentos de oxigênio para dar segurança ao fornecimento da rede. Vale ressaltar que a White Martins fornecia para o Estado todo: fornecia para a rede pública estadual; para a rede pública municipal; para a rede federal no Hospital Federal Getúlio Vargas, que é controlado pela Ebserh, vinculado ao Ministério da Educação; para o Hospital Militar de Manaus; e também para a rede privada, diversos hospitais. Nós, evidentemente, tínhamos acesso aos relatórios mensais de fornecimento e consumo, devido aos pagamentos que fazíamos, em relação à rede estadual; o restante era controlado pela White Martins. Então, quando ela falava que viria uma programação, era uma programação para atender a toda a rede de saúde privada e pública. No dia 7... No mesmo dia 7, já à noite, o representante pediu para falar comigo novamente, por volta das 19h, horário de Manaus, para relatar três situações: a primeira, para reafirmar a programação de entrega do oxigênio, como ele havia confirmado à tarde; a segunda, para pedir o apoio do Estado para realizar uma requisição administrativa do estoque de 20 mil metros cúbicos de oxigênio que teria disponível numa pequena empresa sediada em Manaus, de oxigênio, chamada Carbox, e que eles estavam tentando adquirir esse oxigênio da empresa, a empresa se recusava a vender, e que, apesar de estar chegando o oxigênio no sábado, era necessário, por segurança, ter essa reserva na rede. Imediatamente, consultei meu setor jurídico para verificar como realizar a requisição administrativa, qual o passo a passo; foi orientado que imediatamente a White Martins formalizasse esse pedido, para nós iniciarmos o processo e, no dia seguinte, realizarmos a requisição. "
"38","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Para questão de ordem.)","Sr. Presidente, eu queria fazer uma questão de ordem à V. Exa. Nós estamos aqui diante de uma CPI. Nós estamos há mais de 20 minutos ouvindo um relato, e o Sr. Relator, que deveria estar questionando, para que nós pudéssemos ter esclarecimento... Nós estamos ouvindo uma única versão, unilateral. V. Exa., ainda há pouco, fez um questionamento pertinente, e há outras questões a serem feitas, que, por questão até de educação, nós estamos aguardando, mas, Presidente, nós já estamos às 10h30 da manhã, nós estamos praticamente há 30 minutos ouvindo unilateralmente uma declaração, e nós precisamos ouvir as indagações.         "
"39","PRESIDENTE","(Omar Aziz. PSD - AM)","Eu pediria para V. Sa. concluir, por favor, para que eu passe ao Relator. "
"40","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Tá. Eu gostaria, então... Como esses fatos deverão ser muito bem explorados aqui na Comissão, só queria pedir licença para falar a respeito da Operação Sangria, da qual eu fui alvo. "
"41","PRESIDENTE","(Omar Aziz. PSD - AM)","Você terá oportunidade, Marcellus, na hora em que for perguntado, de explicar tudinho. "
"42","MARCELLUS JOSÉ BARROSO CAMPÊLO","","Sim, senhor. "
"43","PRESIDENTE","(Omar Aziz. PSD - AM)","Você vai passar praticamente o dia todo aqui. Então, você vai ter várias... Várias vezes você vai repetir a mesma coisa. Então, eu peço para V. Exa. concluir e passo ao Relator, para que, durante o seu depoimento, você possa esclarecer tudo aquilo que achar necessário. "
"44","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator. Fora do microfone.)","Sr. Presidente... "
"45","PRESIDENTE","(Omar Aziz. PSD - AM)","Senador Renan... Srs. Senadores e Sra. Senadora, Senadores que estão aqui, não é que eu me esqueci, é que eu li aqui alguns documentos e depois... Mas eu quero aqui, como Presidente desta CPI, em meu nome e, com certeza, em nome do Senador Eduardo Braga, que compõe a CPI, agradecer, do fundo do nosso coração, o mutirão que foi feito esse final de semana, na cidade de Manaus, pelos profissionais de saúde, que, de manhã, de tarde, de noite, de madrugada, conseguiram vacinar 141 mil pessoas. Se você multiplicar 141 mil pessoas por 27, dá mais de 3 milhões de pessoas por dia que cada mutirão desse dá pra vacinar. E olha que a estrutura nossa, só na capital, foram 141 mil pessoas vacinadas acima de 40 anos. E foi um esforço muito grande desses profissionais que já vêm trabalhando exaustivamente na pandemia, mas não se negaram a passar a madrugada. E era fila 3h da manhã, 4h da manhã fila, e o pessoal vacinando. Foi realmente um negócio que nós ficamos muito felizes com isso. Tenho certeza de que é este o caminho: a vacina. Não tem outro caminho que não seja a vacina. "
