"","nomes","cargo_funcao","fala"
"27","PRESIDENTE","(Omar Aziz. PSD - AM)","E foi a pedido do Senador Marcos Rogério, antecipamos a vinda do Governador do Estado do Amazonas para quinta-feira que vem, agora – ele estará aqui, com certeza. E, em relação aos requerimentos de Prefeito, o que nós acordamos é que nós íamos ver uma data para ouvi-los, mas, em relação aos outros requerimentos que V. Exa. me faz, não vejo nenhuma objeção de colocar para votar e eu espero que sejam pautados os requerimentos do Senador Eduardo Girão. Antes de iniciar a sessão, nesse último final de semana, no Estado do Amazonas e na cidade de Manaus, nós tivemos o cerceamento da população de Manaus do ir e vir, ataques a unidades básicas de saúde, ataques a ônibus, a caminhões, a tratores e a vários locais na cidade de Manaus, de sábado para domingo, na madrugada de sábado para o domingo, e no domingo, o dia todo. No domingo... Eu estou dando uma satisfação aqui aos meus colegas, às Sras. Senadoras e Srs. Senadores, no domingo eu peguei o telefone e liguei para o Ministro da Justiça, ainda em pleno e grande tumulto. Nós não estamos falando de uma comunidade que foi sitiada; nós não estamos falando de um bairro que foi sitiado; nós estamos falando de uma cidade como Manaus, com mais de 2 milhões de habitantes, em que as aulas das escolas foram suspensas, o transporte coletivo não funcionou ontem, as lojas fechadas, um verdadeiro sítio feito por facções criminosas.         No domingo, eu liguei ao Ministro da Justiça, pedindo auxílio da Força Nacional, porque eu sei muito bem e conheço bem a Polícia Militar do Estado do Amazonas e a Polícia Civil, porque eu fui secretário de segurança e fui Governador do meu Estado e sei dos homens e mulheres valorosos que têm a Polícia Militar e a Polícia Civil. Eu tive o prazer de conviver e, hoje, por incrível que pareça, Ministro Queiroga, deram prioridade para vacinar presos, e não deram prioridade para vacinar policiais militares e civis que estão na atividade fim diariamente. São eles que nos protegem. Se há duas categorias que trabalham 24 horas por dia, sete dias por semana, 365 dias por ano... Enquanto nós estamos festejando Natal, Ano-Novo, sempre vai ter o policial para dar segurança numa cidade ou num Estado e sempre vai ter pessoas trabalhando em hospitais: médicos, enfermeiros, auxiliar de enfermagem, toda essa estrutura. Então, são duas categorias que todos nós... E eu, como Governador, fiz o possível para manter data-base... Um dos melhores salários da Polícia Militar é no meu Estado, graças ao meu esforço e meu trabalho, da Polícia Civil também... É só comparar. Por isso o carinho grande que eles têm por mim. E, na área de saúde também, a data-base foi feita por mim. E aquele hospital, chamado Delphina Aziz, que vocês já viram e todos já viram, foi construído por mim e é um dos melhores hospitais que o Brasil tem. E tem, o que me honra muito, o nome da minha mãe, que, por 20 anos, foi presidente da Apae. Então, eu faço esse apelo ao Governo. O Presidente, ontem, não estava informado e fez uma cobrança pública a mim e ao Eduardo Braga. Eu fiz o meu papel, eu liguei para o Ministro, Presidente, mas eu acho que agora não é o momento de a gente fazer cobrança nem de um, nem de outro. O que nós estamos vendo no Brasil e, principalmente, na Amazônia é que nós não temos proteção nenhuma nas nossas fronteiras. As drogas e as armas pesadas entram pelas nossas fronteiras sem terem nenhum aparato para não guiá-los. O que acontece nos Estados e nas cidades é que, depois que essas drogas e essas armas entram, quem tem que cuidar é a Polícia Militar e a Policia Civil. Nós temos que fazer o trabalho preventivo. Por isso, faço esse apelo ao Presidente. Nós estamos no terceiro ministro da Justiça. O primeiro ministro se gabava porque só tinha gasto 16% do orçamento da segurança pública. Não há uma política... E não é só Manaus; é o Brasil todo. Lá no Ceará, no Estado do Senador Girão, no Estado do Senador Tasso, já tivemos esse tipo de problema também e a gente tem esse tipo de problema em várias cidades.         O Estado – e, quando eu falo Estado, é Governo Federal, governo estadual e municipal – não pode permitir que facções, comandos sejam donos de uma cidade, de um Estado. Há uma inversão de valores muito grande neste momento que o Brasil vive. Por isso, eu sou Presidente da Comissão de Segurança Pública, e o Marcos do Val é meu Vice-Presidente. Infelizmente, nós não estamos tendo reuniões das Comissões, mas é necessário, além de cuidar da pandemia, também cuidar das pessoas de bem que querem sair para trabalhar e hoje são aterrorizadas. O Estado – volto a repetir, não é o Estado; falo de um dos três: Executivo federal, estadual e municipal –, nós deixamos de ocupar as comunidades, os bairros, os becos e as ruas, e elas estão sendo ocupadas por facções, que estão recrutando os nossos jovens para que sejam ""avião""; facções essas em que um garoto desses ganha R$50, R$100 por dia, para levar droga para ali e para lá, e está sustentando a sua família muitas vezes. No meu Estado, no meu Amazonas, na minha cidade de Manaus, todos me conhecem. Quando fui Secretário de Segurança, fiz programas preventivos: o Galera Nota 10 ganhou prêmio; fiz um programa chamado Ronda no Bairro, que até hoje é lembrado pela população. Infelizmente, os programas de segurança pública implantados no Brasil têm solução de continuidade a partir do momento em que se muda o Governador ou o Presidente. Nós temos que acabar com isso. Ou fazemos um programa nacional de segurança pública para que ninguém, quem quer que seja – o Governador, ou o Prefeito, ou o Presidente –, mude uma estratégia que tem que ser montada a partir de agora. Senão, nós padeceremos para as facções criminosas, nós padeceremos vendo nossos jovens se envolvendo. E eu não falo da capital, Manaus, não. Eu falo do interior do meu Estado também, que teve muito problema; falo do interior do Brasil, onde a droga hoje comanda, principalmente as cidades. O poder delas, o poder aquisitivo delas, o poder de recrutar jovens é maior do que o que os Estados têm para cuidar deles. Por isso, faço este apelo ao Presidente da República, porque é uma das pautas dele como Presidente. Ele se elegeu com essa pauta. Independentemente, Presidente, de termos divergências, neste momento é importante nós nos unirmos, o Brasil se unir – Governadores, Prefeitos, Presidente da República, Congresso Nacional – para que a gente não possa permitir que facções controlem o Estado. Hoje as facções controlam o Estado, fazem o que bem querem e deixam a população à mercê do terrorismo que aconteceu na cidade de Manaus. Era isso, Sr. Relator. Eu queria aqui fazer um apelo ao Líder Fernando Bezerra para que a gente possa montar um programa de segurança pública para o Brasil. As fronteiras. Faço este apelo ao Vice-Presidente Hamilton Mourão, para que comande uma comissão da Amazônia. O meu Estado, em Tabatinga, tem fronteira com o Peru e com a Colômbia; no Alto Rio Negro, com a Venezuela; Mato Grosso, com a Bolívia e o Paraguai. E é por aí que entra droga. O Brasil não produz cocaína, o Brasil não produz metralhadoras, não produz arma pesada. Elas entram pelas nossas fronteiras, e a gente não faz absolutamente nada. E o papel do Estado, o papel nosso é tentar preservar essas áreas, dando uma contribuição à sociedade brasileira, principalmente às pessoas mais humildes que vivem à mercê do terrorismo, do medo, e com medo de sair de casa, com medo que a sua filha saia da escola e vá para casa e sofra algum mal. Esse é um dever de todos nós; não é favor, é obrigação nossa fazer isso e nos unirmos neste momento.         Então, Presidente Jair Bolsonaro, acho que é o momento de a gente sentar. Temos divergência? Temos divergência, mas é o momento de a gente fazer um apelo: para que todos nós nos unamos e procuremos fazer algo que possa dar tranquilidade. No Espírito Santo, do Senador Marcos do Val, já aconteceu isso; já aconteceu em vários Estados. Por isso, é esse apelo que eu faço. O Senador Marcos Rogério pediu uma questão de ordem. "
"28","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO. Pela ordem.)","Sr. Presidente, não é uma questão de ordem: é apenas para uma comunicação inadiável a par das manifestações feitas por V. Exa. neste momento. Eu, diante dos fatos lamentáveis ocorridos no Estado do Amazonas, primeiro quero registrar aqui a minha solidariedade ao povo do Estado de V. Exa., e dizer que, de imediato, fiz contato também com o Ministério da Justiça, em face dos acontecimentos, para que as forças nacionais – Polícia Federal, a própria Força Nacional de Segurança – tivessem essa incursão. E eu tive a resposta, na manhã de hoje, de que a Força Nacional já está sendo mobilizada e encaminhada... "
"29","PRESIDENTE","(Omar Aziz. PSD - AM)","Já chegou lá, já chegaram alguns carros. "
"30","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","... ao Estado do Amazonas, para essa incursão in loco. E ainda, uma nota que recebi quando provoquei o ministério, dizendo o seguinte: ""no final de semana, nossa inteligência, Polícia Federal, Departamento Penitenciário Nacional ouviram que não havia confirmação das ordens terem partido de dentro do presídio"". Foi um questionamento que fiz: se essa ordem inicialmente tinha partido dos presídios. ""Por conseguinte, no final de semana, ainda foi instado o gabinete de crise em Manaus. A equipe do Ministério da Justiça integrou o gabinete de imediato. Oferecemos também de imediato ao Estado força de cooperação prisional caso haja movimentação no sistema prisional do Amazonas e, ainda, imediata remoção para o sistema federal dos responsáveis por eventuais ataques, além de outras lideranças, se for preciso."" Portanto, o registro aqui em relação ao Ministro Anderson Torres, que o apelo de V. Exa., na verdade, já ganhou resposta, e a Força Nacional atuando em conjunto para conter essa onda de violência, essa onda de terrorismo. Isso é terrorismo! E o Parlamento brasileiro precisa começar a se movimentar, a se mexer – não é só Comissão de Segurança Pública, não –, é mexer na legislação para enquadrar atos dessa natureza e outros correlatos – como invasão de propriedade, como tortura, como sequestro, que hoje são considerados aí ato de movimento social – como terrorismo. O Brasil não aceita isso em pleno século XXI. Obrigado, Sr. Presidente. Minha solidariedade a V. Exa. e ao povo do Amazonas. "
"31","PRESIDENTE","(Omar Aziz. PSD - AM)","Obrigado, Senador Marcos Rogério. "
"32","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Queria só fazer uma correção: não vamos misturar movimento social,... Sr. Presidente, por favor. "
"33","PRESIDENTE","(Omar Aziz. PSD - AM)","Só um minutinho. "
"34","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Pela ordem.)","Não, não, é só uma questão, Presidente. Por favor.  Não podemos misturar movimento social com atos terroristas e criminosos. Isso é um desrespeito a todos os movimentos sociais deste País. Por favor, não vamos fazer essa mistura, porque isso é a cara de uma posição autoritária, antidemocrática, que não quer que a sociedade se organize. Por favor! "
"35","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Sr. Presidente. Não vou... "
"36","PRESIDENTE","(Omar Aziz. PSD - AM)","Eu acho que o Congresso pode discutir isso no momento certo. Quero agradecer a V. Exa., Senador Marcos Rogério. E tive uma conversa demorada com o Ministro da Justiça ao telefone, no domingo. Ele foi muito solícito. Eu o agradeci e o agradeço aqui de público. E houve um equívoco ontem do Presidente quando me cobrou publicamente. Eu já tinha feito isso no dia anterior. Mas é normal, às vezes é tanta coisa que a pessoa não tem conhecimento.         Mas quero aqui esclarecer e agradecer a solidariedade de todos os Senadores, porque muitos me ligaram perguntando como é que estava. E realmente é isso que V. Exa. falou: puro terrorismo. Agora é o momento de realmente nós fazermos uma política macro, sem sofrer solução de continuidade no Brasil, porque, senão, nós estaremos sempre à mercê fazendo questões pontuais. Quando a gente precisa da Força Nacional... Não é a primeira vez que a Força Nacional faz auxílio ao Amazonas, já foi mais de uma vez. Hoje eu tive conhecimento, já tive informação de que já chegaram alguns e estão chegando mais lá. Eu espero que a gente possa voltar à normalidade. Dito isso, eu quero aqui fazer ao nosso convidado... "
"37","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Sr. Presidente, pela ordem. "
"38","PRESIDENTE","(Omar Aziz. PSD - AM)","Pois não. "
"39","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Eduardo Braga, Sr. Presidente. "
"40","PRESIDENTE","(Omar Aziz. PSD - AM)","Oi, Senador. Bom dia! "
"41","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.)","Bom dia! Bom dia a V. Exa. Bom dia ao Relator Senador Renan. Bom dia aos colegas Senadores e colegas. Bom dia ao Ministro Queiroga. Ao chegar aqui, V. Exa. estava exatamente relatando o lamentável fato ocorrido na cidade de Manaus, que nos trouxe pânico, insegurança, colocou nossas unidades, inclusive, Ministro, da saúde em perigo, porque ambulâncias foram incendiadas, a vacinação na cidade de Manaus foi paralisada por medo das facções criminosas, transportes coletivos foram destruídos, agências bancárias foram incendiadas. Uma verdadeira barbárie se instalou na cidade de Manaus durante oito horas. O mais grave de tudo é que com a omissão do Poder Público. Nessas oito horas, não se encontrava uma viatura sequer da polícia militar; e as famílias de bem da cidade de Manaus e do Amazonas, atônitas, desesperadas. Essas armas, obviamente, não entram no Amazonas por outro lugar que não pelas fronteiras amazonenses. Essas armas vêm das fronteiras internacionais que nós temos, assim como o narcotráfico entra também pelas nossas fronteiras – competência, portanto, da Polícia Federal e das forças federais de segurança pública. Quero aqui não só aproveitar o depoimento do Presidente Omar Aziz, mas também, como Senador da República, dizer que o envio da Força Nacional é algo importante, mas o que vai efetivamente estancar esta sangria social, moral e da vida do povo amazonense é exatamente uma ação cooperada, inteligente, planejada entre Polícia Federal, polícias estaduais, Poder Público Federal, Poder Público estadual, Poder Público municipal, Forças Armadas, para que nós possamos fazer o fechamento das nossas fronteiras para a entrada de cocaína e de outras drogas, para a entrada de fuzis, metralhadoras e de outras armas. A decisão do Governo Federal ontem de mandar a Força Nacional é importante, mas pontual.         E, por fim, há necessidade de implantação de políticas sociais, a exemplo do que foi feito no meu Governo, no Governo que me sucedeu, o Governo do Senador Omar, onde criamos programas como Jovem Cidadão, em que 130 mil jovens estudavam em um turno e, no contraturno, tinham diversas atividades culturais, educacionais, semiprofissionalizantes, bilíngues, etc., para dar uma expectativa a esses jovens diferente da vida de traficante. Eu faço essa colocação, Sr. Presidente e Sr. Ministro, porque a dependência química, sem dúvida, é uma das linhas da saúde pública e, sendo V. Exa. Ministro da saúde pública, mesmo estando aqui para tratar da pandemia, eu não poderia deixar de fazer esse ""pela ordem"", trazendo um apelo do povo amazonense e do povo amazônida para que nós possamos, de forma organizada, fazer uma repressão de forma inteligente, com informações, planejamento; fazer uma prevenção, mas ao mesmo tempo atuarmos com políticas sociais e da saúde para tirarmos os jovens das mãos desses narcotraficantes e voltarmos a dar a esse jovem a possibilidade de um dia ele ser um médico que possa estar em um hospital como infectologista ajudando a salvar vida de brasileiros, e não no campo de batalha do lado dos narcotraficantes. Muito obrigado, Sr. Presidente. "
"42","PRESIDENTE","(Omar Aziz. PSD - AM)","Muito obrigado, Senador Eduardo. "
"43","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Serei bem breve aqui, Sr. Presidente, só para registrar que este é o Governo de um Presidente da República que disse que a sua principal prioridade era enfrentar e resolver os problemas da segurança pública no Brasil. Nunca a segurança pública no Brasil andou tão mal quanto agora, Sr. Presidente. Muito obrigado. Era só para fazer esse registro. "
"44","PRESIDENTE","(Omar Aziz. PSD - AM)","Havendo número regimental, coloco em votação a Ata da 15ª Reunião, solicitando a dispensa de sua leitura. Os Srs. Senadores que a aprovam permaneçam como se encontram.  Aprovada. Quero aqui, Ministro Queiroga... A partir deste momento, V. Sa. está sob o compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal. Esclareço que o art. 4º, inciso II, da Lei nº 1.579, de 1952, estabelece que fazer afirmação falsa, ou negar ou calar a verdade como testemunha perante a Comissão Parlamentar de Inquérito constitui crime punível com pena de reclusão de dois a quatro anos. V. Sa. promete, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e Ihe for perguntado? "
"45","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","","Sim, Senador. "
"46","PRESIDENTE","(Omar Aziz. PSD - AM)","Muito obrigado. Vou passar a palavra para V. Exa. "
"47","MARCELO ANTÔNIO CARTAXO QUEIROGA LOPES","(Para depor.)","Exmo. Sr. Senador Omar Aziz, Presidente desta douta Comissão Parlamentar de Inquérito, Exmo. Sr. Senador Renan Calheiros, digno Relator desta Comissão, Senador Randolfe Rodrigues, Vice-presidente, Senador Fernando Bezerra Coelho, Líder do Governo nesta Comissão, em nome de quem cumprimento todos os Srs. Senadores hoje presentes. Eu já estive aqui com os senhores e reafirmo o meu compromisso, o meu compromisso de trabalhar pela saúde pública do Brasil. E, nesse momento em que esse compromisso se materializa no enfrentamento eficaz da pandemia da Covid-19, que seja capaz de retirar o caráter pandêmico dessa doença, que tanta infelicidade tem trazido para o mundo e para o Brasil.         No primeiro momento em que eu estive aqui, eu tinha a dizer aos senhores basicamente projetos e compromissos; agora, eu acho que, cerca de 60 dias após a nossa posse como Ministro da Saúde, já posso mostrar-lhes alguns resultados. Eu acredito fortemente que o caráter pandêmico dessa doença só será cessado com uma eficiente campanha de vacinação. Então, é por isso que todos os dias eu trabalho no Ministério da Saúde para prover mais doses de vacinas para acelerar a nossa campanha, que é executada pelo sistema público de saúde, um patrimônio de todos os brasileiros. Nesse sentido, já ultrapassamos a marca de 160... Cento e cinco milhões de doses de vacinas entregues a Estados e Municípios, o que coloca o Brasil em uma posição de estar entre os cinco países que mais doses de vacinas distribuiu à sua população. Desse total de 105 milhões de doses distribuídas, 71,7 milhões já foram aplicadas. Trinta por cento da população vacinável, ou seja, aqueles acima de 18 anos, que perfazem aproximadamente 60 milhões de habitantes do Brasil, já receberam a primeira dose da vacina. (Intervenção fora do microfone.) "
